Stazione, Mantova - S.Agnese

Data/Ora, Particelle sospese PM2.5 - µg/m³
2017/01/01,78
2017/01/02,89
2017/01/03,49
2017/01/04,53
2017/01/05,31
2017/01/06,11
2017/01/07,37
2017/01/08,33
2017/01/09,62
2017/01/10,41
2017/01/11,30
2017/01/12,50
2017/01/13,46
2017/01/14,32
2017/01/15,39
2017/01/16,-999
2017/01/17,20
2017/01/18,21
2017/01/19,23
2017/01/20,32
2017/01/21,43
2017/01/22,49
2017/01/23,39
2017/01/24,40
2017/01/25,37
2017/01/26,42
2017/01/27,49
2017/01/28,68
2017/01/29,100
2017/01/30,141
2017/01/31,151
2017/02/01,149
2017/02/02,92
2017/02/03,42
2017/02/04,27
2017/02/05,18
2017/02/06,19
2017/02/07,19
2017/02/08,19
2017/02/09,25
2017/02/10,22
2017/02/11,38
2017/02/12,56
2017/02/13,46
2017/02/14,39
2017/02/15,49
2017/02/16,56
2017/02/17,75
2017/02/18,57
2017/02/19,48
2017/02/20,52
2017/02/21,58
2017/02/22,80
2017/02/23,61
2017/02/24,67
2017/02/25,14
2017/02/26,28
2017/02/27,37
2017/02/28,40
2017/03/01,22
2017/03/02,18
2017/03/03,30
2017/03/04,24
2017/03/05,4
2017/03/06,20
2017/03/07,21
2017/03/08,8
2017/03/09,28
2017/03/10,30
2017/03/11,9
2017/03/12,15
2017/03/13,19
2017/03/14,39
2017/03/15,56
2017/03/16,52
2017/03/17,53
2017/03/18,37
2017/03/19,62
2017/03/20,42
2017/03/21,41
2017/03/22,28
2017/03/23,27
2017/03/24,26
2017/03/25,25
2017/03/26,10
2017/03/27,14
2017/03/28,27
2017/03/29,31
2017/03/30,28
2017/03/31,24
2017/04/01,22
2017/04/02,20
2017/04/03,19
2017/04/04,22
2017/04/05,12
2017/04/06,28
2017/04/07,11
2017/04/08,18
2017/04/09,19
2017/04/10,18
2017/04/11,19
2017/04/12,10
2017/04/13,19
2017/04/14,24
2017/04/15,20
2017/04/16,16
2017/04/17,5
2017/04/18,8
2017/04/19,9
2017/04/20,8
2017/04/21,14
2017/04/22,19
2017/04/23,16
2017/04/24,12
2017/04/25,18
2017/04/26,14
2017/04/27,11
2017/04/28,7
2017/04/29,10
2017/04/30,12
2017/05/01,17
2017/05/02,10
2017/05/03,9
2017/05/04,16
2017/05/05,11
2017/05/06,-999
2017/05/07,-999
2017/05/08,-999
2017/05/09,4
2017/05/10,7
2017/05/11,10
2017/05/12,14
2017/05/13,10
2017/05/14,12
2017/05/15,8
2017/05/16,7
2017/05/17,11
2017/05/18,12
2017/05/19,14
2017/05/20,15
2017/05/21,10
2017/05/22,14
2017/05/23,18
2017/05/24,32
2017/05/25,12
2017/05/26,9
2017/05/27,10
2017/05/28,13
2017/05/29,11
2017/05/30,16
2017/05/31,15
2017/06/01,17
2017/06/02,18
2017/06/03,22
2017/06/04,11
2017/06/05,13
2017/06/06,13
2017/06/07,11
2017/06/08,7
2017/06/09,9
2017/06/10,32
2017/06/11,19
2017/06/12,13
2017/06/13,15
2017/06/14,17
2017/06/15,21
2017/06/16,32
2017/06/17,13
2017/06/18,9
2017/06/19,10
2017/06/20,14
2017/06/21,14
2017/06/22,20
2017/06/23,20
2017/06/24,22
2017/06/25,13
2017/06/26,11
2017/06/27,10
2017/06/28,11
2017/06/29,6
2017/06/30,5
2017/07/01,7
2017/07/02,9
2017/07/03,8
2017/07/04,9
2017/07/05,9
2017/07/06,14
2017/07/07,14
2017/07/08,21
2017/07/09,8
2017/07/10,12
2017/07/11,15
2017/07/12,13
2017/07/13,24
2017/07/14,6
2017/07/15,11
2017/07/16,6
2017/07/17,9
2017/07/18,10
2017/07/19,15
2017/07/20,17
2017/07/21,25
2017/07/22,18
2017/07/23,14
2017/07/24,9
2017/07/25,14
2017/07/26,7
2017/07/27,13
2017/07/28,17
2017/07/29,16
2017/07/30,9
2017/07/31,12
2017/08/01,18
2017/08/02,21
2017/08/03,21
2017/08/04,18
2017/08/05,18
2017/08/06,17
2017/08/07,6
2017/08/08,8
2017/08/09,10
2017/08/10,14
2017/08/11,6
2017/08/12,8
2017/08/13,9
2017/08/14,6
2017/08/15,8
2017/08/16,10
2017/08/17,15
2017/08/18,13
2017/08/19,12
2017/08/20,6
2017/08/21,-999
2017/08/22,9
2017/08/23,10
2017/08/24,12
2017/08/25,17
2017/08/26,17
2017/08/27,15
2017/08/28,22
2017/08/29,9
2017/08/30,14
2017/08/31,-999
2017/09/01,-999
2017/09/02,10
2017/09/03,5
2017/09/04,7
2017/09/05,14
2017/09/06,19
2017/09/07,24
2017/09/08,4
2017/09/09,13
2017/09/10,9
2017/09/11,8
2017/09/12,13
2017/09/13,8
2017/09/14,15
2017/09/15,18
2017/09/16,8
2017/09/17,10
2017/09/18,7
2017/09/19,7
2017/09/20,6
2017/09/21,12
2017/09/22,20
2017/09/23,31
2017/09/24,30
2017/09/25,11
2017/09/26,17
2017/09/27,19
2017/09/28,21
2017/09/29,18
2017/09/30,18
2017/10/01,22
2017/10/02,33
2017/10/03,56
2017/10/04,62
2017/10/05,57
2017/10/06,31
2017/10/07,15
2017/10/08,17
2017/10/09,27
2017/10/10,41
2017/10/11,46
2017/10/12,63
2017/10/13,80
2017/10/14,74
2017/10/15,77
2017/10/16,57
2017/10/17,56
2017/10/18,69
2017/10/19,53
2017/10/20,82
2017/10/21,88
2017/10/22,52
2017/10/23,7
2017/10/24,13
2017/10/25,20
2017/10/26,33
2017/10/27,57
2017/10/28,69
2017/10/29,42
2017/10/30,28
2017/10/31,10
2017/11/01,25
2017/11/02,41
2017/11/03,-999
2017/11/04,70
2017/11/05,37
2017/11/06,5
2017/11/07,7
2017/11/08,-999
2017/11/09,20
2017/11/10,25
