Stazione, Mantova - S.Agnese
2017/11/11,28
2017/11/12,-999
2017/11/13,8
2017/11/14,15
2017/11/15,21
2017/11/16,-999
2017/11/17,41
2017/11/18,39
2017/11/19,53
2017/11/20,49
2017/11/21,63
2017/11/22,72
2017/11/23,87
2017/11/24,97
2017/11/25,80
2017/11/26,-999
2017/11/27,-999
2017/11/28,31
2017/11/29,32
2017/11/30,-999
2017/12/01,-999
2017/12/02,-999
2017/12/03,-999
2017/12/04,-999
2017/12/05,-999
2017/12/06,-999
2017/12/07,-999
2017/12/08,77
2017/12/09,-999
2017/12/10,-999
2017/12/11,-999
2017/12/12,-999
2017/12/13,-999
2017/12/14,-999
2017/12/15,-999
2017/12/16,-999
2017/12/17,33
2017/12/18,41
2017/12/19,44
2017/12/20,45
2017/12/21,75
2017/12/22,87
2017/12/23,81
2017/12/24,84
2017/12/25,74
2017/12/26,71
2017/12/27,25
2017/12/28,14
2017/12/29,14
2017/12/30,27
2017/12/31,48
